At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (b) (eV),Suffix,Uncertainty (c) (eV),References,
"=""104""","=""Rf LXII""","=""+61""","=""Rutherfordium""","=""Tc""","=""[Kr].4d7""","=""4F<9/2>""","=""4d6 5D<4>""","=""(""","=""4116""","="")""","=""12""","=""L8672c99""",
"=""104""","=""Rf LXIII""","=""+62""","=""Rutherfordium""","=""Mo""","=""[Kr].4d6""","=""5D<4>""","=""4d-4.4d+ (0,5/2)<5/2>""","=""(""","=""4203""","="")""","=""15""","=""L8672c99""",
"=""104""","=""Rf LXIV""","=""+63""","=""Rutherfordium""","=""Nb""","=""[Kr].4d5""","=""(0,5/2)<5/2>""","=""4d4 5D<0>""","=""(""","=""4287""","="")""","=""19""","=""L8672c99""",
"=""104""","=""Rf LXV""","=""+64""","=""Rutherfordium""","=""Zr""","=""[Kr].4d4""","=""5D0""","=""4d3 4F<3/2>""","=""(""","=""4489""","="")""","=""24""","=""L8672c99""",
"=""104""","=""Rf LXVI""","=""+65""","=""Rutherfordium""","=""Y""","=""[Kr].4d3""","=""4F<3/2>""","=""4d2 3F<2>""","=""(""","=""4580""","="")""","=""30""","=""L8672c99""",
"=""104""","=""Rf LXVII""","=""+66""","=""Rutherfordium""","=""Sr""","=""[Kr].4d2""","=""3F<2>""","=""4d 2D<3/2>""","=""(""","=""4670""","="")""","=""40""","=""L8672c99""",
"=""104""","=""Rf LXVIII""","=""+67""","=""Rutherfordium""","=""Rb""","=""[Kr].4d""","=""2D<3/2>""","=""4p6 1S<0>""","=""(""","=""4760""","="")""","=""40""","=""L8672c99""",
"=""104""","=""Rf LXIX""","=""+68""","=""Rutherfordium""","=""Kr""","=""[Ar].3d10.4s2.4p6""","=""1S0""","=""4p5 2P*<3/2>""","=""(""","=""5130""","="")""","=""50""","=""L8672c99""",
"=""104""","=""Rf LXX""","=""+69""","=""Rutherfordium""","=""Br""","=""[Ar].3d10.4s2.4p5""","=""2P*<3/2>""","=""4p4 3P<2>""","=""(""","=""5210""","="")""","=""50""","=""L8672c99""",
"=""104""","=""Rf LXXI""","=""+70""","=""Rutherfordium""","=""Se""","=""[Ar].3d10.4s2.4p4""","=""3P<2>""","=""4p-2.4p+ (0,3/2)*<3/2>""","=""(""","=""5300""","="")""","=""60""","=""L8672c99""",
"=""104""","=""Rf LXXII""","=""+71""","=""Rutherfordium""","=""As""","=""[Ar].3d10.4s2.4p3""","=""(0,3/2)*<3/2>""","=""4p2 3P<0>""","=""(""","=""5390""","="")""","=""60""","=""L8672c99""",
"=""104""","=""Rf LXXIII""","=""+72""","=""Rutherfordium""","=""Ge""","=""[Ar].3d10.4s2.4p2""","=""3P0""","=""4p 2P*<1/2>""","=""(""","=""6100""","="")""","=""70""","=""L8672c99""",
