At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells,Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""3""","=""Li I""","=""0""","=""Lithium""","=""Li""","=""1s2.2s""","=""2S<1/2>""","=""1s2 1S<0>""","=""""","=""5.391714996""","=""""","=""0.000000022""","=""L12261""",
"=""3""","=""Li II""","=""+1""","=""Lithium""","=""He""","=""1s2""","=""1S0""","=""1s 2S<1/2>""","=""(""","=""75.6400970""","="")""","=""0.0000012""","=""L10054""",
"=""3""","=""Li III""","=""+2""","=""Lithium""","=""H""","=""1s""","=""2S<1/2>""","=""""","=""(""","=""122.45435913""","="")""","=""0.00000011""","=""L19200""",
