At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells,Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""8""","=""O I""","=""0""","=""Oxygen""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p3 4S*<3/2>""","=""""","=""13.618055""","=""""","=""0.000007""","=""L74,L3760""",
"=""8""","=""O II""","=""+1""","=""Oxygen""","=""N""","=""1s2.2s2.2p3""","=""4S*<3/2>""","=""2p2 3P<0>""","=""""","=""35.12112""","=""""","=""0.00006""","=""L11267,L10621""",
"=""8""","=""O III""","=""+2""","=""Oxygen""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2p 2P*<1/2>""","=""[""","=""54.93554""","=""]""","=""0.00012""","=""L11770""",
"=""8""","=""O IV""","=""+3""","=""Oxygen""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""""","=""77.41350""","=""""","=""0.00025""","=""L648""",
"=""8""","=""O V""","=""+4""","=""Oxygen""","=""Be""","=""1s2.2s2""","=""1S0""","=""2s 2S<1/2>""","=""""","=""113.8990""","=""""","=""0.0005""","=""L7288""",
"=""8""","=""O VI""","=""+5""","=""Oxygen""","=""Li""","=""1s2.2s""","=""2S<1/2>""","=""1s2 1S<0>""","=""[""","=""138.1189""","=""]""","=""0.0021""","=""L4713""",
"=""8""","=""O VII""","=""+6""","=""Oxygen""","=""He""","=""1s2""","=""1S0""","=""1s 2S<1/2>""","=""(""","=""739.32697""","="")""","=""0.00015""","=""L21139""",
"=""8""","=""O VIII""","=""+7""","=""Oxygen""","=""H""","=""1s""","=""2S<1/2>""","=""""","=""(""","=""871.4099138""","="")""","=""0.0000012""","=""L19200""",
