At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (b) (eV),References,
"=""41""","=""Nb XXXV""","=""+34""","=""Niobium""","=""N""","=""1s2.2s2.2p3""","=""(0,3/2)*<3/2>""","=""2p2 3P<0>""","=""[""","=""4540""","=""]""","=""30""","=""L11770""",
"=""41""","=""Nb XXXVI""","=""+35""","=""Niobium""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2p 2P*<1/2>""","=""[""","=""4815""","=""]""","=""5""","=""L11770""",
"=""41""","=""Nb XXXVII""","=""+36""","=""Niobium""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""[""","=""5011""","=""]""","=""4""","=""L11770""",
"=""41""","=""Nb XXXVIII""","=""+37""","=""Niobium""","=""Be""","=""1s2.2s2""","=""1S0""","=""2s 2S<1/2>""","=""[""","=""5265""","=""]""","=""5""","=""L11770""",
"=""41""","=""Nb XXXIX""","=""+38""","=""Niobium""","=""Li""","=""1s2.2s""","=""2S<1/2>""","=""1s2 1S<0>""","=""(""","=""5426.066""","="")""","=""0.015""","=""L16264c99""",
"=""41""","=""Nb XL""","=""+39""","=""Niobium""","=""He""","=""1s2""","=""1S0""","=""1s 2S<1/2>""","=""(""","=""22648.046""","="")""","=""0.007""","=""L21139""",
"=""41""","=""Nb XLI""","=""+40""","=""Niobium""","=""H""","=""1s""","=""2S<1/2>""","=""""","=""(""","=""23388.850""","="")""","=""0.004""","=""L19200""",
Notes:
(a) Designations used in the ground shell lists:
     [Ne] = 1s2.2s2.2p6
     [Ar] = 1s2.2s2.2p6.3s2.3p6
     [Kr] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6
(b) Uncertainties of some of the listed values are unknown.
