At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (b) (eV),References,
"=""45""","=""Rh XXX""","=""+29""","=""Rhodium""","=""S""","=""[Ne].3s2.3p4""","=""3P<2>""","=""3p3 4S*<3/2>""","=""[""","=""1677.6""","=""]""","=""2.2""","=""L11770""",
"=""45""","=""Rh XXXI""","=""+30""","=""Rhodium""","=""P""","=""[Ne].3s2.3p3""","=""4S*<3/2>""","=""3p2 3P<0>""","=""[""","=""1763""","=""]""","=""7""","=""L11770""",
"=""45""","=""Rh XXXII""","=""+31""","=""Rhodium""","=""Si""","=""[Ne].3s2.3p2""","=""3P0""","=""3p 2P*<1/2>""","=""[""","=""1851""","=""]""","=""4""","=""L11770""",
"=""45""","=""Rh XXXIII""","=""+32""","=""Rhodium""","=""Al""","=""[Ne].3s2.3p""","=""2P*<1/2>""","=""3s2 1S<0>""","=""[""","=""1903""","=""]""","=""9""","=""L11770""",
"=""45""","=""Rh XXXIV""","=""+33""","=""Rhodium""","=""Mg""","=""[Ne].3s2""","=""1S0""","=""3s 2S<1/2>""","=""[""","=""2063""","=""]""","=""3""","=""L11770""",
"=""45""","=""Rh XXXV""","=""+34""","=""Rhodium""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""[""","=""2129.22""","=""]""","=""0.07""","=""L11770""",
"=""45""","=""Rh XXXVI""","=""+35""","=""Rhodium""","=""Ne""","=""1s2.2s2.2p6""","=""1S0""","=""2p5 2P*<3/2>""","=""[""","=""5018""","=""]""","=""3""","=""L11770""",
"=""45""","=""Rh XXXVII""","=""+36""","=""Rhodium""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""[""","=""5203""","=""]""","=""8""","=""L11770""",
"=""45""","=""Rh XXXVIII""","=""+37""","=""Rhodium""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p2<1/2>.2p<3/2> (0,3/2)*<3/2>""","=""[""","=""5406""","=""]""","=""11""","=""L11770""",
"=""45""","=""Rh XXXIX""","=""+38""","=""Rhodium""","=""N""","=""1s2.2s2.2p3""","=""(0,3/2)*<3/2>""","=""2p2 3P<0>""","=""[""","=""5600""","=""]""","=""40""","=""L11770""",
"=""45""","=""Rh XL""","=""+39""","=""Rhodium""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2p 2P*<1/2>""","=""[""","=""5940""","=""]""","=""7""","=""L11770""",
"=""45""","=""Rh XLI""","=""+40""","=""Rhodium""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""[""","=""6161""","=""]""","=""5""","=""L11770""",
"=""45""","=""Rh XLII""","=""+41""","=""Rhodium""","=""Be""","=""1s2.2s2""","=""1S0""","=""2s 2S<1/2>""","=""[""","=""6444""","=""]""","=""6""","=""L11770""",
"=""45""","=""Rh XLIII""","=""+42""","=""Rhodium""","=""Li""","=""1s2.2s""","=""2S<1/2>""","=""1s2 1S<0>""","=""(""","=""6623.262""","="")""","=""0.020""","=""L16264c99""",
"=""45""","=""Rh XLIV""","=""+43""","=""Rhodium""","=""He""","=""1s2""","=""1S0""","=""1s 2S<1/2>""","=""(""","=""27486.979""","="")""","=""0.012""","=""L21139""",
"=""45""","=""Rh XLV""","=""+44""","=""Rhodium""","=""H""","=""1s""","=""2S<1/2>""","=""""","=""(""","=""28312.031""","="")""","=""0.006""","=""L19200""",
Notes:
(a) Designations used in the ground shell lists:
     [Ne] = 1s2.2s2.2p6
     [Ar] = 1s2.2s2.2p6.3s2.3p6
     [Kr] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6
(b) Uncertainties of some of the listed values are unknown. 
