At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (b) (eV),References,
"=""86""","=""Rn LIV""","=""+53""","=""Radon""","=""As""","=""[Ar].3d10.4s2.4p3""","=""(0,3/2)*<3/2>""","=""4p2 3P<0>""","=""(""","=""3149""","="")""","=""5""","=""L8672c99""",
"=""86""","=""Rn LV""","=""+54""","=""Radon""","=""Ge""","=""[Ar].3d10.4s2.4p2""","=""3P0""","=""4p 2P*<1/2>""","=""(""","=""3433""","="")""","=""5""","=""L8672c99""",
"=""86""","=""Rn LVI""","=""+55""","=""Radon""","=""Ga""","=""[Ar].3d10.4s2.4p""","=""2P*<1/2>""","=""4s2 1S<0>""","=""(""","=""3510""","="")""","=""5""","=""L8672c99""",
"=""86""","=""Rn LVII""","=""+56""","=""Radon""","=""Zn""","=""[Ar].3d10.4s2""","=""1S0""","=""4s 2S<1/2>""","=""(""","=""3699""","="")""","=""5""","=""L8672c99""",
"=""86""","=""Rn LVIII""","=""+57""","=""Radon""","=""Cu""","=""[Ar].3d10.4s""","=""2S<1/2>""","=""3d10 1S<0>""","=""[""","=""3777""","=""]""","=""3""","=""L10278""",
"=""86""","=""Rn LIX""","=""+58""","=""Radon""","=""Ni""","=""[Ar].3d10""","=""1S0""","=""3d9 2D<5/2>""","=""(""","=""6169""","="")""","=""6""","=""L8672c99""",
"=""86""","=""Rn LX""","=""+59""","=""Radon""","=""Co""","=""[Ar].3d9""","=""2D<5/2>""","=""3d8 3F<4>""","=""(""","=""6318""","="")""","=""7""","=""L8672c99""",
"=""86""","=""Rn LXI""","=""+60""","=""Radon""","=""Fe""","=""[Ar].3d8""","=""3F<4>""","=""3d7 4F<9/2>""","=""(""","=""6476""","="")""","=""10""","=""L8672c99""",
"=""86""","=""Rn LXII""","=""+61""","=""Radon""","=""Mn""","=""[Ar].3d7""","=""4F<9/2>""","=""3d-4.3d+2 (0,4)<4>""","=""(""","=""6646""","="")""","=""12""","=""L8672c99""",
"=""86""","=""Rn LXIII""","=""+62""","=""Radon""","=""Cr""","=""[Ar].3d6""","=""(0,4)<4>""","=""3d-4.3d+ (0,5/2)<5/2>""","=""(""","=""6807""","="")""","=""15""","=""L8672c99""",
"=""86""","=""Rn LXIV""","=""+63""","=""Radon""","=""V""","=""[Ar].3d5""","=""(0,5/2)<5/2>""","=""3d4 5D<0>""","=""(""","=""6964""","="")""","=""19""","=""L8672c99""",
"=""86""","=""Rn LXV""","=""+64""","=""Radon""","=""Ti""","=""[Ar].3d4""","=""5D0""","=""3d3 4F<3/2>""","=""(""","=""7283""","="")""","=""24""","=""L8672c99""",
"=""86""","=""Rn LXVI""","=""+65""","=""Radon""","=""Sc""","=""[Ar].3d3""","=""4F<3/2>""","=""3d2 3F<2>""","=""(""","=""7450""","="")""","=""30""","=""L8672c99""",
"=""86""","=""Rn LXVII""","=""+66""","=""Radon""","=""Ca""","=""[Ar].3d2""","=""3F<2>""","=""3d 2D<3/2>""","=""(""","=""7630""","="")""","=""40""","=""L8672c99""",
"=""86""","=""Rn LXVIII""","=""+67""","=""Radon""","=""K""","=""[Ar].3d""","=""2D<3/2>""","=""3p6 1S<0>""","=""(""","=""7800""","="")""","=""40""","=""L8672c99""",
"=""86""","=""Rn LXIX""","=""+68""","=""Radon""","=""Ar""","=""[Ne].3s2.3p6""","=""1S0""","=""3p5 2P*<3/2>""","=""(""","=""8260""","="")""","=""50""","=""L8672c99""",
"=""86""","=""Rn LXX""","=""+69""","=""Radon""","=""Cl""","=""[Ne].3s2.3p5""","=""2P*<3/2>""","=""3p4 3P<2>""","=""(""","=""8410""","="")""","=""50""","=""L8672c99""",
"=""86""","=""Rn LXXI""","=""+70""","=""Radon""","=""S""","=""[Ne].3s2.3p4""","=""3P<2>""","=""3p3 2P*<3/2>""","=""(""","=""8570""","="")""","=""60""","=""L8672c99""",
"=""86""","=""Rn LXXII""","=""+71""","=""Radon""","=""P""","=""[Ne].3s2.3p3""","=""2P*<3/2>""","=""3p2 3P<0>""","=""(""","=""8710""","="")""","=""60""","=""L8672c99""",
"=""86""","=""Rn LXXIII""","=""+72""","=""Radon""","=""Si""","=""[Ne].3s2.3p2""","=""3P0""","=""3p 2P*<1/2>""","=""(""","=""9610""","="")""","=""70""","=""L8672c99""",
"=""86""","=""Rn LXXIV""","=""+73""","=""Radon""","=""Al""","=""[Ne].3s2.3p""","=""2P*<1/2>""","=""3s2 1S<0>""","=""(""","=""9780""","="")""","=""90""","=""L8672c99""",
"=""86""","=""Rn LXXV""","=""+74""","=""Radon""","=""Mg""","=""[Ne].3s2""","=""1S0""","=""3s 2S<1/2>""","=""(""","=""10120""","="")""","=""90""","=""L8672c99""",
"=""86""","=""Rn LXXVI""","=""+75""","=""Radon""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""(""","=""10290""","="")""","=""100""","=""L8672c99""",
