At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (b) (eV),Suffix,Uncertainty (c) (eV),References,
"=""105""","=""Db LXXIX""","=""+78""","=""Dubnium""","=""Co""","=""[Ar].3d9""","=""2D<5/2>""","=""3d8 3F<4>""","=""(""","=""10610""","="")""","=""120""","=""L8672c99""",
"=""105""","=""Db LXXX""","=""+79""","=""Dubnium""","=""Fe""","=""[Ar].3d8""","=""3F<4>""","=""3d7 4F<9/2>""","=""(""","=""10820""","="")""","=""140""","=""L8672c99""",
"=""105""","=""Db LXXXI""","=""+80""","=""Dubnium""","=""Mn""","=""[Ar].3d7""","=""4F<9/2>""","=""3d-4.3d+2 (0,4)<4>""","=""(""","=""11040""","="")""","=""150""","=""L8672c99""",
"=""105""","=""Db LXXXII""","=""+81""","=""Dubnium""","=""Cr""","=""[Ar].3d6""","=""(0,4)<4>""","=""3d-4.3d+ (0,5/2)<5/2>""","=""(""","=""11240""","="")""","=""160""","=""L8672c99""",
"=""105""","=""Db LXXXIII""","=""+82""","=""Dubnium""","=""V""","=""[Ar].3d5""","=""(0,5/2)<5/2>""","=""3d4 5D<0>""","=""(""","=""11440""","="")""","=""170""","=""L8672c99""",
"=""105""","=""Db LXXXIV""","=""+83""","=""Dubnium""","=""Ti""","=""[Ar].3d4""","=""5D0""","=""3d3 4F<3/2>""","=""(""","=""12040""","="")""","=""190""","=""L8672c99""",
"=""105""","=""Db LXXXV""","=""+84""","=""Dubnium""","=""Sc""","=""[Ar].3d3""","=""4F<3/2>""","=""3d2 3F<2>""","=""(""","=""12250""","="")""","=""200""","=""L8672c99""",
"=""105""","=""Db LXXXVI""","=""+85""","=""Dubnium""","=""Ca""","=""[Ar].3d2""","=""3F<2>""","=""3d 2D<3/2>""","=""(""","=""12480""","="")""","=""220""","=""L8672c99""",
"=""105""","=""Db LXXXVII""","=""+86""","=""Dubnium""","=""K""","=""[Ar].3d""","=""2D<3/2>""","=""3p6 1S<0>""","=""(""","=""12700""","="")""","=""240""","=""L8672c99""",
"=""105""","=""Db LXXXVIII""","=""+87""","=""Dubnium""","=""Ar""","=""[Ne].3s2.3p6""","=""1S0""","=""3p5 2P*<3/2>""","=""(""","=""13300""","="")""","=""250""","=""L8672c99""",
