At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells,Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""5""","=""B I""","=""0""","=""Boron""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""""","=""8.298019""","=""""","=""0.000003""","=""L12312""",
"=""5""","=""B II""","=""+1""","=""Boron""","=""Be""","=""1s2.2s2""","=""1S0""","=""2s 2S<1/2>""","=""""","=""25.15483""","=""""","=""0.00005""","=""L12120""",
"=""5""","=""B III""","=""+2""","=""Boron""","=""Li""","=""1s2.2s""","=""2S<1/2>""","=""1s2 1S<0>""","=""""","=""37.93059""","=""""","=""0.00007""","=""L12547""",
"=""5""","=""B IV""","=""+3""","=""Boron""","=""He""","=""1s2""","=""1S0""","=""1s 2S<1/2>""","=""(""","=""259.374379""","="")""","=""0.000009""","=""L10054""",
"=""5""","=""B V""","=""+4""","=""Boron""","=""H""","=""1s""","=""2S<1/2>""","=""""","=""(""","=""340.2260225""","="")""","=""0.0000006""","=""L19200""",
