At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (b) (eV),Suffix,Uncertainty (c) (eV),References,
"=""109""","=""Mt LXXXIV""","=""+83""","=""Meitnerium""","=""Fe""","=""[Ar].3d8""","=""3F<4>""","=""3d7 4F<9/2>""","=""(""","=""11870""","="")""","=""190""","=""L8672c99""",
"=""109""","=""Mt LXXXV""","=""+84""","=""Meitnerium""","=""Mn""","=""[Ar].3d7""","=""4F<9/2>""","=""3d-4.3d+2 (0,4)<4>""","=""(""","=""12100""","="")""","=""200""","=""L8672c99""",
"=""109""","=""Mt LXXXVI""","=""+85""","=""Meitnerium""","=""Cr""","=""[Ar].3d6""","=""(0,4)<4>""","=""3d-4.3d+ (0,5/2)<5/2>""","=""(""","=""12320""","="")""","=""220""","=""L8672c99""",
"=""109""","=""Mt LXXXVII""","=""+86""","=""Meitnerium""","=""V""","=""[Ar].3d5""","=""(0,5/2)<5/2>""","=""3d4 5D<0>""","=""(""","=""12530""","="")""","=""240""","=""L8672c99""",
"=""109""","=""Mt LXXXVIII""","=""+87""","=""Meitnerium""","=""Ti""","=""[Ar].3d4""","=""5D0""","=""3d3 4F<3/2>""","=""(""","=""13200""","="")""","=""250""","=""L8672c99""",
"=""109""","=""Mt LXXXIX""","=""+88""","=""Meitnerium""","=""Sc""","=""[Ar].3d3""","=""4F<3/2>""","=""3d2 3F<2>""","=""(""","=""13400""","="")""","=""300""","=""L8672c99""",
"=""109""","=""Mt XC""","=""+89""","=""Meitnerium""","=""Ca""","=""[Ar].3d2""","=""3F<2>""","=""3d 2D<3/2>""","=""(""","=""13700""","="")""","=""300""","=""L8672c99""",
"=""109""","=""Mt XCI""","=""+90""","=""Meitnerium""","=""K""","=""[Ar].3d""","=""2D<3/2>""","=""3p6 1S<0>""","=""(""","=""13900""","="")""","=""300""","=""L8672c99""",
"=""109""","=""Mt XCII""","=""+91""","=""Meitnerium""","=""Ar""","=""[Ne].3s2.3p6""","=""1S0""","=""3p5 2P*<3/2>""","=""(""","=""14500""","="")""","=""300""","=""L8672c99""",
"=""109""","=""Mt XCIII""","=""+92""","=""Meitnerium""","=""Cl""","=""[Ne].3s2.3p5""","=""2P*<3/2>""","=""3p4 3P<2>""","=""(""","=""14700""","="")""","=""400""","=""L8672c99""",
"=""109""","=""Mt XCIV""","=""+93""","=""Meitnerium""","=""S""","=""[Ne].3s2.3p4""","=""3P<2>""","=""3p3 2P*<3/2>""","=""(""","=""14900""","="")""","=""400""","=""L8672c99""",
"=""109""","=""Mt XCV""","=""+94""","=""Meitnerium""","=""P""","=""[Ne].3s2.3p3""","=""2P*<3/2>""","=""3p2 3P<0>""","=""(""","=""15100""","="")""","=""400""","=""L8672c99""",
"=""109""","=""Mt XCVI""","=""+95""","=""Meitnerium""","=""Si""","=""[Ne].3s2.3p2""","=""3P0""","=""3p 2P*<1/2>""","=""(""","=""17900""","="")""","=""400""","=""L8672c99""",
"=""109""","=""Mt XCVII""","=""+96""","=""Meitnerium""","=""Al""","=""[Ne].3s2.3p""","=""2P*<1/2>""","=""3s2 1S<0>""","=""(""","=""18200""","="")""","=""400""","=""L8672c99""",
"=""109""","=""Mt XCVIII""","=""+97""","=""Meitnerium""","=""Mg""","=""[Ne].3s2""","=""1S0""","=""3s 2S<1/2>""","=""(""","=""18700""","="")""","=""400""","=""L8672c99""",
"=""109""","=""Mt XCIX""","=""+98""","=""Meitnerium""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""(""","=""18900""","="")""","=""500""","=""L8672c99""",
"=""109""","=""Mt C""","=""+99""","=""Meitnerium""","=""Ne""","=""1s2.2s2.2p6""","=""1S0""","=""2p5 2P*<3/2>""","=""(""","=""36700""","="")""","=""500""","=""L8672c99""",
"=""109""","=""Mt CI""","=""+100""","=""Meitnerium""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""(""","=""37200""","="")""","=""500""","=""L8672c99""",
"=""109""","=""Mt CII""","=""+101""","=""Meitnerium""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p2<1/2>.2p<3/2> (0,3/2)*<3/2>""","=""(""","=""37800""","="")""","=""500""","=""L8672c99""",
"=""109""","=""Mt CIII""","=""+102""","=""Meitnerium""","=""N""","=""1s2.2s2.2p3""","=""(0,3/2)*<3/2>""","=""2p2 3P<0>""","=""(""","=""38300""","="")""","=""500""","=""L8672c99""",
"=""109""","=""Mt CIV""","=""+103""","=""Meitnerium""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2p 2P*<1/2>""","=""(""","=""48500""","="")""","=""500""","=""L8672c99""",
"=""109""","=""Mt CV""","=""+104""","=""Meitnerium""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""(""","=""49400""","="")""","=""600""","=""L8672c99""",
"=""109""","=""Mt CVI""","=""+105""","=""Meitnerium""","=""Be""","=""1s2.2s2""","=""1S0""","=""2s 2S<1/2>""","=""(""","=""50300""","="")""","=""600""","=""L8672c99""",
"=""109""","=""Mt CVII""","=""+106""","=""Meitnerium""","=""Li""","=""1s2.2s""","=""2S<1/2>""","=""1s2 1S<0>""","=""""","=""""","=""""","=""""","=""""",
"=""109""","=""Mt CVIII""","=""+107""","=""Meitnerium""","=""He""","=""1s2""","=""1S0""","=""1s 2S<1/2>""","=""(""","=""196392""","="")""","=""14""","=""u52""",
"=""109""","=""Mt CIX""","=""+108""","=""Meitnerium""","=""H""","=""1s""","=""2S<1/2>""","=""""","=""(""","=""199605""","="")""","=""15""","=""L19200""",
Notes:
(a) Designations used in the ground shell lists:
     [Ne] = 1s2.2s2.2p6
     [Ar] = 1s2.2s2.2p6.3s2.3p6
     [Kr] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6
     [Cd] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6.4d10.5s2
     [Xe] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6.4d10.5s2.5p6
     [Rn] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6.4d10.5s2.5p6.4f14.5d10.6s2.6p6
(b) If the listed ionization energy is blank, it is unknown. Only the ground state is known.
(c) Uncertainties of some of the listed values are unknown. 
