At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells,Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""4""","=""Be I""","=""0""","=""Beryllium""","=""Be""","=""1s2.2s2""","=""1S0""","=""2s 2S<1/2>""","=""""","=""9.322699""","=""""","=""0.000007""","=""L5964""",
"=""4""","=""Be II""","=""+1""","=""Beryllium""","=""Li""","=""1s2.2s""","=""2S<1/2>""","=""1s2 1S<0>""","=""""","=""18.21115""","=""""","=""0.00004""","=""L12158""",
"=""4""","=""Be III""","=""+2""","=""Beryllium""","=""He""","=""1s2""","=""1S0""","=""1s 2S<1/2>""","=""(""","=""153.896205""","="")""","=""0.000004""","=""L10054""",
"=""4""","=""Be IV""","=""+3""","=""Beryllium""","=""H""","=""1s""","=""2S<1/2>""","=""""","=""(""","=""217.71858459""","="")""","=""0.00000010""","=""L19200""",
