At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (b) (eV),Suffix,Uncertainty (c) (eV),References,
"=""107""","=""Bh XLII""","=""+41""","=""Bohrium""","=""Dy""","=""[Cd].4f14.5p4""","=""3P<2>""","=""4f14.5p3 2P*<3/2>""","=""""","=""""","=""""","=""""","=""""",
"=""107""","=""Bh XLIII""","=""+42""","=""Bohrium""","=""Tb""","=""[Cd].4f14.5p3""","=""2P*<3/2>""","=""4f14.5p2 3P<0>""","=""""","=""""","=""""","=""""","=""""",
"=""107""","=""Bh XLIV""","=""+43""","=""Bohrium""","=""Gd""","=""[Cd].4f14.5p2""","=""3P0""","=""4f14.5p 2P*<1/2>""","=""""","=""""","=""""","=""""","=""""",
"=""107""","=""Bh XLV""","=""+44""","=""Bohrium""","=""Eu""","=""[Cd].4f14.5p""","=""2P*<1/2>""","=""4f14 1S<0>""","=""""","=""""","=""""","=""""","=""""",
"=""107""","=""Bh XLVI""","=""+45""","=""Bohrium""","=""Sm""","=""[Cd].4f14""","=""1S0""","=""4f14.5s 2S<1/2>""","=""""","=""""","=""""","=""""","=""""",
"=""107""","=""Bh XLVII""","=""+46""","=""Bohrium""","=""Pm""","=""[Kr].4d10.4f14.5s""","=""2S<1/2>""","=""4f14 1S<0>""","=""""","=""""","=""""","=""""","=""""",
"=""107""","=""Bh XLVIII""","=""+47""","=""Bohrium""","=""Nd""","=""[Kr].4d10.4f14""","=""1S0""","=""4f13 2F*<7/2>""","=""""","=""""","=""""","=""""","=""""",
"=""107""","=""Bh XLIX""","=""+48""","=""Bohrium""","=""Pr""","=""[Kr].4d10.4f13""","=""2F*<7/2>""","=""4f12""","=""""","=""""","=""""","=""""","=""""",
"=""107""","=""Bh L""","=""+49""","=""Bohrium""","=""Ce""","=""[Kr].4d10.4f12""","=""""","=""4f11 4I*<15/2>""","=""""","=""""","=""""","=""""","=""""",
"=""107""","=""Bh LI""","=""+50""","=""Bohrium""","=""La""","=""[Kr].4d10.4f11""","=""4I*<15/2>""","=""4f10 5I<8>""","=""""","=""""","=""""","=""""","=""""",
"=""107""","=""Bh LII""","=""+51""","=""Bohrium""","=""Ba""","=""[Kr].4d10.4f10""","=""5I<8>""","=""4f9 6H*<15/2>""","=""""","=""""","=""""","=""""","=""""",
"=""107""","=""Bh LIII""","=""+52""","=""Bohrium""","=""Cs""","=""[Kr].4d10.4f9""","=""6H*<15/2>""","=""4f8 7F<6>""","=""""","=""""","=""""","=""""","=""""",
