At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (b) (eV),Suffix,Uncertainty (c) (eV),References,
"=""106""","=""Sg XLI""","=""+40""","=""Seaborgium""","=""Dy""","=""[Cd].4f14.5p4""","=""3P<2>""","=""4f14.5p3 2P*<3/2>""","=""""","=""""","=""""","=""""","=""""",
"=""106""","=""Sg XLII""","=""+41""","=""Seaborgium""","=""Tb""","=""[Cd].4f14.5p3""","=""2P*<3/2>""","=""4f14.5p2 3P<0>""","=""""","=""""","=""""","=""""","=""""",
"=""106""","=""Sg XLIII""","=""+42""","=""Seaborgium""","=""Gd""","=""[Cd].4f14.5p2""","=""3P0""","=""4f14.5p 2P*<1/2>""","=""""","=""""","=""""","=""""","=""""",
"=""106""","=""Sg XLIV""","=""+43""","=""Seaborgium""","=""Eu""","=""[Cd].4f14.5p""","=""2P*<1/2>""","=""4f14 1S<0>""","=""""","=""""","=""""","=""""","=""""",
"=""106""","=""Sg XLV""","=""+44""","=""Seaborgium""","=""Sm""","=""[Cd].4f14""","=""1S0""","=""4f14.5s 2S<1/2>""","=""""","=""""","=""""","=""""","=""""",
"=""106""","=""Sg XLVI""","=""+45""","=""Seaborgium""","=""Pm""","=""[Kr].4d10.4f14.5s""","=""2S<1/2>""","=""4f14 1S<0>""","=""""","=""""","=""""","=""""","=""""",
"=""106""","=""Sg XLVII""","=""+46""","=""Seaborgium""","=""Nd""","=""[Kr].4d10.4f14""","=""1S0""","=""4f13 2F*<7/2>""","=""""","=""""","=""""","=""""","=""""",
"=""106""","=""Sg XLVIII""","=""+47""","=""Seaborgium""","=""Pr""","=""[Kr].4d10.4f13""","=""2F*<7/2>""","=""4f12""","=""""","=""""","=""""","=""""","=""""",
"=""106""","=""Sg XLIX""","=""+48""","=""Seaborgium""","=""Ce""","=""[Kr].4d10.4f12""","=""""","=""4f11 4I*<15/2>""","=""""","=""""","=""""","=""""","=""""",
"=""106""","=""Sg L""","=""+49""","=""Seaborgium""","=""La""","=""[Kr].4d10.4f11""","=""4I*<15/2>""","=""4f10 5I<8>""","=""""","=""""","=""""","=""""","=""""",
"=""106""","=""Sg LI""","=""+50""","=""Seaborgium""","=""Ba""","=""[Kr].4d10.4f10""","=""5I<8>""","=""4f9 6H*<15/2>""","=""""","=""""","=""""","=""""","=""""",
"=""106""","=""Sg LII""","=""+51""","=""Seaborgium""","=""Cs""","=""[Kr].4d10.4f9""","=""6H*<15/2>""","=""4f8 7F<6>""","=""""","=""""","=""""","=""""","=""""",
"=""106""","=""Sg LIII""","=""+52""","=""Seaborgium""","=""Xe""","=""[Kr].4d10.4f8""","=""7F<6>""","=""4f7 8S*<7/2>""","=""""","=""""","=""""","=""""","=""""",
"=""106""","=""Sg LIV""","=""+53""","=""Seaborgium""","=""I""","=""[Kr].4d10.4f7""","=""8S*<7/2>""","=""4f6 7F<0>""","=""""","=""""","=""""","=""""","=""""",
