At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (b) (eV),Suffix,Uncertainty (c) (eV),References,
"=""110""","=""Ds LII""","=""+51""","=""Darmstadtium""","=""Pr""","=""[Kr].4d10.4f13""","=""2F*<7/2>""","=""4f12""","=""""","=""""","=""""","=""""","=""""",
"=""110""","=""Ds LIII""","=""+52""","=""Darmstadtium""","=""Ce""","=""[Kr].4d10.4f12""","=""""","=""4f11 4I*<15/2>""","=""""","=""""","=""""","=""""","=""""",
"=""110""","=""Ds LIV""","=""+53""","=""Darmstadtium""","=""La""","=""[Kr].4d10.4f11""","=""4I*<15/2>""","=""4f10 5I<8>""","=""""","=""""","=""""","=""""","=""""",
"=""110""","=""Ds LV""","=""+54""","=""Darmstadtium""","=""Ba""","=""[Kr].4d10.4f10""","=""5I<8>""","=""4f9 6H*<15/2>""","=""""","=""""","=""""","=""""","=""""",
"=""110""","=""Ds LVI""","=""+55""","=""Darmstadtium""","=""Cs""","=""[Kr].4d10.4f9""","=""6H*<15/2>""","=""4f8 7F<6>""","=""""","=""""","=""""","=""""","=""""",
"=""110""","=""Ds LVII""","=""+56""","=""Darmstadtium""","=""Xe""","=""[Kr].4d10.4f8""","=""7F<6>""","=""4f7 8S*<7/2>""","=""""","=""""","=""""","=""""","=""""",
"=""110""","=""Ds LVIII""","=""+57""","=""Darmstadtium""","=""I""","=""[Kr].4d10.4f7""","=""8S*<7/2>""","=""4f6 7F<0>""","=""""","=""""","=""""","=""""","=""""",
"=""110""","=""Ds LIX""","=""+58""","=""Darmstadtium""","=""Te""","=""[Kr].4d10.4f6""","=""7F0""","=""4f5 6H*<5/2>""","=""""","=""""","=""""","=""""","=""""",
"=""110""","=""Ds LX""","=""+59""","=""Darmstadtium""","=""Sb""","=""[Kr].4d10.4f5""","=""6H*<5/2>""","=""4f4 5I<4>""","=""""","=""""","=""""","=""""","=""""",
"=""110""","=""Ds LXI""","=""+60""","=""Darmstadtium""","=""Sn""","=""[Kr].4d10.4f4""","=""5I<4>""","=""4f3 4I*<9/2>""","=""""","=""""","=""""","=""""","=""""",
