At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (b) (eV),Suffix,Uncertainty (c) (eV),References,
"=""108""","=""Hs LXXXVIII""","=""+87""","=""Hassium""","=""Sc""","=""[Ar].3d3""","=""4F<3/2>""","=""3d2 3F<2>""","=""(""","=""13130""","="")""","=""250""","=""L8672c99""",
"=""108""","=""Hs LXXXIX""","=""+88""","=""Hassium""","=""Ca""","=""[Ar].3d2""","=""3F<2>""","=""3d 2D<3/2>""","=""(""","=""13400""","="")""","=""300""","=""L8672c99""",
"=""108""","=""Hs XC""","=""+89""","=""Hassium""","=""K""","=""[Ar].3d""","=""2D<3/2>""","=""3p6 1S<0>""","=""(""","=""13600""","="")""","=""300""","=""L8672c99""",
"=""108""","=""Hs XCI""","=""+90""","=""Hassium""","=""Ar""","=""[Ne].3s2.3p6""","=""1S0""","=""3p5 2P*<3/2>""","=""(""","=""14200""","="")""","=""300""","=""L8672c99""",
"=""108""","=""Hs XCII""","=""+91""","=""Hassium""","=""Cl""","=""[Ne].3s2.3p5""","=""2P*<3/2>""","=""3p4 3P<2>""","=""(""","=""14400""","="")""","=""300""","=""L8672c99""",
"=""108""","=""Hs XCIII""","=""+92""","=""Hassium""","=""S""","=""[Ne].3s2.3p4""","=""3P<2>""","=""3p3 2P*<3/2>""","=""(""","=""14600""","="")""","=""400""","=""L8672c99""",
"=""108""","=""Hs XCIV""","=""+93""","=""Hassium""","=""P""","=""[Ne].3s2.3p3""","=""2P*<3/2>""","=""3p2 3P<0>""","=""(""","=""14800""","="")""","=""400""","=""L8672c99""",
"=""108""","=""Hs XCV""","=""+94""","=""Hassium""","=""Si""","=""[Ne].3s2.3p2""","=""3P0""","=""3p 2P*<1/2>""","=""(""","=""17500""","="")""","=""400""","=""L8672c99""",
"=""108""","=""Hs XCVI""","=""+95""","=""Hassium""","=""Al""","=""[Ne].3s2.3p""","=""2P*<1/2>""","=""3s2 1S<0>""","=""(""","=""17700""","="")""","=""400""","=""L8672c99""",
"=""108""","=""Hs XCVII""","=""+96""","=""Hassium""","=""Mg""","=""[Ne].3s2""","=""1S0""","=""3s 2S<1/2>""","=""(""","=""18200""","="")""","=""400""","=""L8672c99""",
"=""108""","=""Hs XCVIII""","=""+97""","=""Hassium""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""(""","=""18400""","="")""","=""400""","=""L8672c99""",
"=""108""","=""Hs XCIX""","=""+98""","=""Hassium""","=""Ne""","=""1s2.2s2.2p6""","=""1S0""","=""2p5 2P*<3/2>""","=""(""","=""35900""","="")""","=""500""","=""L8672c99""",
"=""108""","=""Hs C""","=""+99""","=""Hassium""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""(""","=""36400""","="")""","=""500""","=""L8672c99""",
"=""108""","=""Hs CI""","=""+100""","=""Hassium""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p2<1/2>.2p<3/2> (0,3/2)*<3/2>""","=""(""","=""37000""","="")""","=""500""","=""L8672c99""",
"=""108""","=""Hs CII""","=""+101""","=""Hassium""","=""N""","=""1s2.2s2.2p3""","=""(0,3/2)*<3/2>""","=""2p2 3P<0>""","=""(""","=""37500""","="")""","=""500""","=""L8672c99""",
"=""108""","=""Hs CIII""","=""+102""","=""Hassium""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2p 2P*<1/2>""","=""(""","=""47300""","="")""","=""500""","=""L8672c99""",
"=""108""","=""Hs CIV""","=""+103""","=""Hassium""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""(""","=""48100""","="")""","=""500""","=""L8672c99""",
