At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells,Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""9""","=""F I""","=""0""","=""Fluorine""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""""","=""17.42282""","=""""","=""0.00005""","=""L7481,L526""",
"=""9""","=""F II""","=""+1""","=""Fluorine""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p3 4S*<3/2>""","=""""","=""34.97081""","=""""","=""0.00012""","=""L369""",
"=""9""","=""F III""","=""+2""","=""Fluorine""","=""N""","=""1s2.2s2.2p3""","=""4S*<3/2>""","=""2p2 3P<0>""","=""[""","=""62.70798""","=""]""","=""0.00025""","=""L11770""",
"=""9""","=""F IV""","=""+3""","=""Fluorine""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2p 2P*<1/2>""","=""[""","=""87.175""","=""]""","=""0.017""","=""L11770""",
"=""9""","=""F V""","=""+4""","=""Fluorine""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""[""","=""114.249""","=""]""","=""0.006""","=""L11770""",
"=""9""","=""F VI""","=""+5""","=""Fluorine""","=""Be""","=""1s2.2s2""","=""1S0""","=""2s 2S<1/2>""","=""""","=""157.16311""","=""""","=""0.00025""","=""L6491""",
"=""9""","=""F VII""","=""+6""","=""Fluorine""","=""Li""","=""1s2.2s""","=""2S<1/2>""","=""1s2 1S<0>""","=""""","=""185.1868""","=""""","=""0.0006""","=""L6335""",
"=""9""","=""F VIII""","=""+7""","=""Fluorine""","=""He""","=""1s2""","=""1S0""","=""1s 2S<1/2>""","=""(""","=""953.8983""","="")""","=""0.0003""","=""L21139""",
"=""9""","=""F IX""","=""+8""","=""Fluorine""","=""H""","=""1s""","=""2S<1/2>""","=""""","=""(""","=""1103.1175302""","="")""","=""0.0000019""","=""L19200""",
